店铺名称,店铺地址,种类,平均消费价格,店铺评分,评价人数,地区
京都蝎府羊蝎子火锅（健德门店）,海淀区北土城西路祁家豁子甲2号一层西侧,羊蝎子火锅,94.0,4.6,306,牡丹园/北太平庄
驴脾气·驴肉火锅家常菜,海淀区西三旗泰山饭店北(安宁庄后街)103号,特色火锅,70.0,4.5,17,西三旗
蛙蛙叫铜炉蛙锅（凯德晶品店）,海淀区复兴路51号LG层,炭火锅,0.0,0.0,0,公主坟/万寿路
前后涮羊肉（二里庄店）,海淀区志新路乙16号,老北京火锅,103.0,4.6,202,学院桥/学院路
七喜蒙羊·羊蝎子烧烤餐厅（上地店）,海淀区上地信息路19号商服中心3楼,羊蝎子火锅,110.0,4.5,53,上地
南沙渔港软件园店,海淀区东北旺西路8号中关村软件园4号楼AB座1-2层,海鲜,99.0,4.4,5,上地
华惠琪餐厅,海淀区香山北辛村38号,火锅,48.0,4.4,1,香山/植物园
花聚（北清路店）,海淀区丰秀东路9号院11号楼一层商铺（首创天阅西山南门）,港式火锅,0.0,4.3,0,西北旺
starhot星火韩国炸鸡火锅料理,海淀区西土城路学院国际大厦B1层,韩国菜,36.0,4.4,1219,牡丹园/北太平庄
黔味酸汤鱼·川湘菜（六道口店）,海淀区清华东路六所大厦B座一楼（近六道口地铁站A2出口，六所大厦东门进）,鱼火锅,85.0,4.5,44,五道口
神洲四海海鲜大酒楼（四道口店）,海淀区四道口路2号京果商厦A座3层（近乐天玛特超市）,海鲜火锅,287.0,4.4,23,北下关
前后涮羊肉（志新东路店）,海淀区志新东路14-2号,老北京火锅,106.0,4.5,373,五道口
京羯一锅·羊蝎子锅·烧烤,海淀区皂君庙14号拐弯处,羊蝎子火锅,0.0,4.2,0,大钟寺
鸿旺老北京涮肉（四道口店）,海淀区学院南路27号,老北京火锅,55.0,4.0,0,北下关
老诚一锅（西三旗店）,海淀区西三旗东路西小口地铁站北侧600米（速8酒店旁）,羊蝎子火锅,68.0,4.2,4364,清河
老诚一锅（学清路店）,海淀区学清路41号底商（裕京大厦一楼，近中国农业大学西门）,羊蝎子火锅,67.0,4.4,2775,五道口
阳坊大都涮羊肉（梅园店）,海淀区圆明园西路梅园小区（百旺商城对面）,老北京火锅,119.0,3.7,0,颐和园
全牛道乐山跷脚牛肉（百旺店）,海淀区圆明园西路中发百旺商城5层521号,汤锅,80.0,4.2,13,上地
新辣道鱼火锅（龙旗广场店）,昌平区黄平路19号院龙旗购物中心3楼,鱼火锅,89.0,4.8,378,西三旗
小帅锅旋转小火锅（四道口店）,海淀区四道口路学院南路39号,小火锅,35.0,4.2,0,北下关
锅青天（四道口店）,海淀区四道口2号11号,川味火锅,100.0,4.1,0,北下关
鲜釜小火锅,海淀区蓝靛厂西路晨月园甲2号楼金铂麟酒店内,小火锅,150.0,4.4,0,远大路
山乡涮烤坊（西山林语店）,海淀区林语山庄路冷泉林语山庄二区14-101,烧烤,69.0,4.3,158,海淀区
一品焖锅（北京华联农大南路店）,海淀区上地农大南路华联商厦四层（北京市海淀区农大南路1号院1号楼4层F4-09B号）,焖锅,80.0,4.5,505,上地
远望楼•百合美食苑,海淀区北三环中路57号远望楼宾馆一层（近城建大厦）,综合自助,81.0,4.8,40,牡丹园/北太平庄
辽宁大厦·盛安汇,海淀区北四环西路甲2号1幢A座,自助火锅,101.0,4.3,40,五道口
欢乐牧场海鲜烤肉自助（牡丹园店）,海淀区花园东路甲32号仰源大厦二楼,综合自助,95.0,4.3,1620,牡丹园/北太平庄
北京交通大学学苑餐厅,海淀区上园村3号北京交通大学内（近交大东路）,火锅,12.0,4.3,0,北下关
老诚一锅（人民大学店）,海淀区万泉河路68号紫金庄园9号楼东（紫金大厦旁）,羊蝎子火锅,66.0,4.4,4430,苏州桥
蛙宝厨（世纪金源购物中心店）,海淀区远大路1号世纪金源购物中心五层西段5209号,干锅/香锅,91.0,4.3,156,远大路
黄记煌三汁焖锅（安河桥华联店）,海淀区龙背村路99号院1号楼华联购物中心2楼F2-30单元（近地铁4号线安河桥北站）,焖锅,81.0,4.5,2005,颐和园
富顺荤豆花,海淀区温泉路58号天兰商场4层,豆腐花,50.0,4.6,16,海淀区
锅圈食汇火锅烧烤食材超市（永泰西里店）,海淀区永泰西里2号楼1层2-5,生鲜,0.0,4.5,0,清河
小渝府烤鱼·川菜·香锅（二里庄店）,海淀区志新西路11-5号（二里庄南口）,烤鱼,51.0,4.4,1744,五道口
好吃的鱼火锅,海淀区上地西路华联上地购物中心4层,鱼火锅,0.0,4.0,0,上地
城一锅（玉泉路店）,海淀区玉泉路16号（海凌宾馆南）,羊蝎子火锅,105.0,3.9,1,五棵松
池记串吧（万寿路店）,海淀区万寿路西街甲四号（育英小学南门斜对面）,烤串,68.0,4.4,393,公主坟/万寿路
池记串吧（北影店）,海淀区建安西路黄亭子小区甲2号（地铁西土城C口）,烤串,70.0,4.5,470,牡丹园/北太平庄
和府火锅和她的面（五道口店）,海淀区成府路28号五道口购物中心L5-05号铺,面条,53.0,4.1,0,五道口
大吉大利火锅鸡（大钟寺店）,海淀区北三环西路23号三层北侧,特色菜,0.0,0.0,0,大钟寺
过江龙,海淀区上地十街10号百度大厦F3层F3-CE号,火锅,0.0,4.2,0,上地
温野菜日本涮涮锅（世纪金源店）,海淀区远大路1号世纪金源购物中心五层E段5410（星美影城旁）,日式火锅,185.0,4.6,340,远大路
阳坊胜利涮羊肉（安宁庄店）,海淀区安宁庄东路24号,老北京火锅,104.0,3.9,12,清河
喜洋洋·涮羊肉羊蝎子,海淀区学清路逸成东苑甲7号,特色火锅,80.0,4.7,22,五道口
老诚一锅（紫竹桥店）,海淀区紫竹院路82号,羊蝎子火锅,80.0,4.7,8,紫竹桥
元羊火锅·羊蝎子（学清路店）,海淀区学清路甲8号欢乐汇KTV二层,羊蝎子火锅,81.0,4.7,172,五道口
炖炖牛肉锅,海淀区西土城路学院南路32号院,牛羊肉火锅,80.0,4.7,5,北下关
巴蜀·王婆大虾（清河店）,海淀区安宁庄东路72号（热电厂大门北侧）,虾蟹火锅,73.0,4.9,2434,清河
同盛鑫西门铜锅涮肉,海淀区复兴路丙11号,老北京火锅,106.0,4.4,4,公主坟/万寿路
醉帅锅回转自助火锅（龙旗广场店）,昌平区回龙观黄平路19号龙旗广场永辉超市负一层时遇美食街内,自助火锅,34.0,4.1,546,西三旗
醉帅锅回转自助小火锅（华宇店）,海淀区中关村南大街2号华宇中心四层,自助火锅,40.0,3.9,418,双榆树
城一锅羊蝎子火锅,丰台区京铁家园2区5号楼底商9号,羊蝎子火锅,63.0,4.2,311,五棵松
阳坊胜利涮羊肉（上地店）,海淀区信息路龙泉湖大厦底商,老北京火锅,112.0,4.2,56,上地
一品焖锅（新中关店）,海淀区北京市海淀区中关村大街19号新中关大厦L415,焖锅,93.0,4.1,101,中关村
玉金王婆大虾·锦州烧烤,海淀区聂各庄路北京农商银行南50米,海鲜火锅,84.0,4.8,50,海淀区
贵凤凰羊肉粉•小吃•贵州火锅（西直门店）,海淀区交通大学路3号院2号楼首层东侧1号,贵州菜,67.0,4.7,53,北下关
贵凤凰羊肉粉•小吃•贵州火锅（五道口店）,海淀区北京市海淀区中关村东路8号东升大夏ab座一层sa-xi-02单元,贵州菜,70.0,4.8,35,五道口
贵凤凰羊肉粉•小吃•贵州火锅（中科院店）,海淀区中关村南路南一条8号贵凤凰,贵州菜,66.0,4.6,43,中关村
老望京小腰（上地店）,海淀区上地信息路19号1号楼东南侧103中部（憩园斜对面）,烤串,75.0,3.9,174,上地
菜麻航天桥店—串串仙店（航天桥店）,海淀区阜成路北三街23号（航天烟酒旁）,串串香,82.0,4.3,460,航天桥
豆捞坊（火锅餐厅）,海淀区西翠路与玉渊潭南路交叉口的东南角（奥运篮球馆对面）,澳门豆捞,92.0,4.3,380,五棵松
羊大爷涮肉（温泉店）,海淀区太舟坞408号,老北京火锅,106.0,4.3,11,海淀区
锅圈食汇火锅烧烤食材超市（上庄嘉郡店）,海淀区三嘉南街上庄三嘉信苑16号楼1层2单元102-2,生鲜,46.0,4.4,0,上庄
春熙巷子·串串香火锅（京粮广场店）,海淀区田村路43号京粮广场A-1F-023号,串串香,94.0,4.2,100,田村
嗨番茄·番茄酸汤鱼（领展购物广场中关村店）,海淀区中关村大街领展购物中心5层,汤锅,46.0,4.1,100,中关村
小哥哥爱吃鸡·酸菜火锅鸡（第39档口-美华盛天美食城店）,海淀区莲花池东路北小马厂6号-01层西侧,火锅,0.0,4.1,0,首都博物馆/莲花池东路
东开源清真涮肉•传统菜•烧烤,海淀区羊坊店路17-5号,牛羊肉火锅,88.0,4.4,11,北京西站/六里桥
阿田大虾（馨瑞家园店）,海淀区上庄镇馨瑞家园小区,虾蟹火锅,73.0,4.3,5,上庄
一品焖锅（凯德晶品店）,海淀区复兴路51号凯德晶品三楼（近地铁万寿路站）,焖锅,86.0,4.3,190,公主坟/万寿路
懒熊火锅（八家嘉园店）,海淀区八家嘉园底商22-3号,水果生鲜,70.0,0.0,0,五道口
老诚一锅（香山店）,海淀区香山路林业科学院对面,羊蝎子火锅,100.0,4.5,34,颐和园
串百万串串火锅（上地华联店）,海淀区农大南路硅谷亮城北1号华联商厦四层,串串香,103.0,4.5,37,上地
313羊庄·铁锅烀羊肉（西三旗店）,海淀区安宁庄后街泰山饭店北侧,牛羊肉火锅,104.0,4.5,112,清河
313羊庄·铁锅烀羊肉（军博店）,海淀区北蜂窝路8-2号中联部西门（农业银行对面）,牛羊肉火锅,102.0,4.5,17,北京西站/军博
文津国际酒店怡多咖啡厅,海淀区中关村东路1号院清华科技园内文津国际酒店二层怡多餐厅（近清华大学南门）,综合自助,86.0,4.3,199,五道口
就三桌涮肉馆（牡丹园配送店）,海淀区花园路甲2号院4号楼2层201-08号、201-09号、201-10号,老北京火锅,80.0,4.1,0,牡丹园/北太平庄
巴蜀王婆大虾（金沟河店）,海淀区金沟河路万城大厦三楼西侧超市发入口（永辉超市对面）,火锅,82.0,4.4,189,五棵松
张胖子带你去成都串串香（双榆树店）,海淀区双榆树一街老诚一锅隔壁,串串香,97.0,4.8,111,双榆树
醉帅锅回转自助小火锅（六道口店）,海淀区学清路甲8号圣熙8号购物广场五层,自助火锅,38.0,4.3,501,五道口
小牛海记潮汕牛肉店（永定路店）,海淀区永定路28号（陈阿婆旁边）,潮汕牛肉火锅,81.0,4.3,4430,五棵松
攀成钢小郡肝串串香（中发百旺店）,海淀区圆明园西路18号中发百旺商城4层,串串香,109.0,4.1,275,上地
大碗牛肉面 羊蝎子火锅,海淀区香山买卖街57号,面条,47.0,4.6,29,香山/植物园
伊豆野菜村（清河万象汇店）,海淀区清河中街华润五彩城五楼东区L559,日式火锅,175.0,4.6,235,清河
伊豆野菜村（枫蓝国际店）,海淀区西直门北大街32号院（枫蓝国际购物中心三层）,日式火锅,176.0,4.8,157,北下关
打肚椰子鸡猪肚鸡（世纪金源店）,海淀区远大路1号世纪金源购物中心5层东侧,猪肚鸡火锅,127.0,4.7,32,远大路
牡丹园涮肉馆牡丹园店,海淀区花园东路28号（牡丹宾馆北侧）,老北京火锅,62.0,4.3,210,牡丹园/北太平庄
麻豆专蜀火锅（第11档口-辉煌国际美食城店）,海淀区上地十街1号院6号楼B1层03号,四川火锅,40.0,0.0,0,上地
洒加一小酒馆,海淀区交通大学路31号院底商,烧烤,100.0,4.9,4,北下关
阿田大虾（上庄店）,海淀区上庄路望湖楼饭庄西南对面,虾蟹火锅,60.0,4.7,220,上庄
老旧门超牛串串香（安宁庄店）,海淀区安宁庄东路18号,串串香,63.0,4.2,147,清河
呷哺火锅店,海淀区颐和园路5号,小火锅,0.0,4.1,0,颐和园
倪氏海泰大酒店餐厅（四季青店）,海淀区远大路39-2号院（南坞桥南50米处）,海鲜火锅,271.0,4.2,72,远大路
九丁目吉田·日式寿喜烧（中关村店）,海淀区中关村大街15-10号F2层（食宝街二期陶记黄牛宴面旁）,日式火锅,155.0,4.3,123,中关村
四季烤肉涮肉,海淀区北洼路南口88号（近阳坊胜利涮肉）,火锅,65.0,4.2,0,航天桥
天府豆花庄（金四季店）,海淀区金四季购物中心（金四季店）美食街三层,川菜,68.0,4.3,21,四季青
华丽盛宴.澳门海鲜火锅,海淀区北四环西路辽宁大厦1楼,海鲜火锅,621.0,4.5,6,中关村
万德私家火锅,海淀区香山南路北辛庄黄土坡甲7号,火锅,87.0,4.3,6,八大处
骨珍香老城一锅（温泉路店）,海淀区温泉路D28地块D1-1商业楼1层111,羊蝎子火锅,82.0,4.5,264,海淀区
六合居,海淀区远大路52号,老北京火锅,114.0,4.5,170,四季青
亮健容天老北京羊蝎子火锅（五彩城店）,海淀区朱房路50号,羊蝎子火锅,65.0,4.9,315,清河
淘汰郎小火锅（海淀店）,海淀区交大东路66号院1号楼1层108-1,涮涮锅,80.0,3.7,0,北下关
陈阿婆麻辣香锅（五棵松店）,海淀区复兴路32号院一区物业用房二层203室（汇通阳光商务酒店内）,干锅/香锅,58.0,4.3,2291,五棵松
友仁居老北京涮羊肉（知春路店）,海淀区知春路56号（希格玛大厦对面）,老北京火锅,84.0,4.4,138,双榆树
蝎王府羊蝎子（永定路店）,海淀区永定路铁家坟丙5号平房,火锅,95.0,4.9,448,五棵松
城都成串串香（创客小镇店）,海淀区画眉山东路创客小镇底商112号,串串香,85.0,4.9,777,海淀区
蝎王府羊蝎子（农大店）,海淀区厢黄旗七彩华园14号楼1层100,羊蝎子火锅,78.0,4.9,82,上地
郑记羊蝎子（恩济庄店）,海淀区恩济庄永安东里3号楼一层,羊蝎子火锅,80.0,5.0,13,四季青
时间之外牛板筋火锅●烤串,海淀区德惠路西山一号院商14号楼（原大麦茶嗑瓜子牛板筋火锅）,牛羊肉火锅,99.0,4.0,0,西北旺
就三桌涮肉馆（四道口店）,海淀区皂君庙东路皂君庙14号院鑫雅苑小区5号楼二层（东升地区）,老北京火锅,80.0,4.2,0,北下关
老诚一锅（魏公村店）,海淀区魏公街10号（快乐柠檬门进）,羊蝎子火锅,101.0,4.3,16,魏公村
京城蝎府羊蝎子（龙岗路店）,海淀区清河龙岗路18号（老宅门旁）,羊蝎子火锅,92.0,4.3,447,清河
一品焖锅（世纪金源购物中心店）,海淀区远大路1号世纪金源购物中心5楼（汉拿山旁）,焖锅,80.0,4.4,708,远大路
看庭前火锅·烧烤季（香山店）,海淀区香山路香山南营18号（卧佛寺南门往西100米路北，近香山公园）,老北京火锅,123.0,4.6,92,香山/植物园
草原情（羊蝎子•烤羊排店）,海淀区展春园西路蓟鑫大厦1层,羊蝎子火锅,70.0,4.2,1601,五道口
骨氣鼓氣秘制羊棒骨（上地店）,海淀区信息路19号（上地之城西侧，中国实创中心东侧）,特色火锅,112.0,3.6,98,上地
小渔棠（北清路店）,海淀区北清路68号23号楼B1层北侧,鱼火锅,67.0,4.4,579,西北旺
攀成钢小郡肝串串香（安河桥店）,海淀区海淀区龙背村路101号1层1-32号铺,串串香,100.0,4.2,63,颐和园
蝎王府羊蝎子（西直门店）,海淀区交大东路佰金广场一层（交通大学路口）,羊蝎子火锅,68.0,4.5,3491,北下关
蝎王府羊蝎子（清河店）,海淀区安宁庄东路72号小营桥西热力公司旁,羊蝎子火锅,65.0,4.5,970,清河
蝎王府羊蝎子（双榆树店）,海淀区双榆树中街双榆树东里甲18号,羊蝎子火锅,100.0,4.5,421,双榆树
京华烧烤羊蝎子（西二旗店）,海淀区西二旗大街39号融通高科大厦A座一层底商,羊蝎子火锅,82.0,4.3,1751,上地
北华涮肉小院（西苑店）,海淀区二龙闸路西苑桥桥西100米（三角地公园内）,老北京火锅,97.0,4.3,382,颐和园
和庆斋（明光村店）,海淀区西土城路明光村16号楼南侧2层016号,羊蝎子火锅,60.0,4.9,5,北下关
骨氣鼓氣秘制羊棒骨（五棵松店）,海淀区复兴路69号16幢-1层-101-199,特色火锅,90.0,4.3,354,五棵松
天地涮肉,海淀区大柳树路23号（大慧寺路东口）,老北京火锅,111.0,4.2,0,北下关
班花串串香火锅（中关村店）,海淀区海淀大街27号天使大厦底商,串串香,97.0,4.4,323,中关村
攀成钢小郡肝串串香（海淀绿地中央广场店）,海淀区林风二路39号（近苏家坨，绿地中央广场）,串串香,100.0,4.3,30,上庄
老诚一锅羊蝎子火锅,海淀区东北旺路,羊蝎子火锅,80.0,3.5,9,上地
串百万串串火锅（万柳华联店）,海淀区万柳购物广场5层,串串香,105.0,4.3,29,万柳
黄记煌三汁焖锅（四道口店）,海淀区学院南路33号（近四道口艺海金五星百货铁道西侧）,焖锅,80.0,4.4,3980,北下关
仁义餐厅,海淀区香山路西小府甲22号,火锅,91.0,4.0,0,香山/植物园
淘汰郎（第A2档口-熊猫星厨美食城店）,海淀区暂安处1号蓟鑫大厦D区301,小火锅,0.0,0.0,0,五道口
小帅锅旋转小火锅（五道口店）,海淀区北京海淀区成府路29号学府美食城,小火锅,28.0,3.9,5,五道口
炫丽彩虹重庆麻辣烫,海淀区是东王庄小区10号楼,火锅,47.0,3.7,0,五道口
和庆斋（颐泉山庄店）,海淀区龙背村路与天秀北路交口东南角,羊蝎子火锅,83.0,4.5,99,颐和园
玉林串串香（明光桥店）,海淀区学院南路甲7号,串串香,55.0,4.3,3202,牡丹园/北太平庄
喜乐祥山庄（杏石口店）,海淀区瑞王坟甲12号23号24号平房,特色火锅,70.0,4.8,0,四季青
阿田大虾（太舟坞店）,海淀区温泉路太舟坞108号,虾蟹火锅,86.0,4.4,123,海淀区
三山阳坊涮肉（闵庄店）,海淀区闵庄南路天香颐中里甲7号楼底商,老北京火锅,81.0,4.4,120,四季青
虾吃虾涮虾火锅（学院路店）,海淀区学院路17号（北京语言大学东门南侧肯德基楼下）,虾蟹火锅,69.0,4.3,4264,五道口
火炉火年糕火锅&芝士排骨（五道口店）,海淀区成府路食尚苑1楼,韩国菜,55.0,4.2,6797,五道口
羊蝎子鱼锅,海淀区颐和园路大有庄南上坡34号,羊蝎子火锅,60.0,4.3,173,颐和园
王土地火锅,海淀区中关村北大街42号圆明园东门正对面清华大学清华附中,特色火锅,70.0,4.4,52,五道口
骨珍香老城一锅羊蝎子（畅春园店）,海淀区颐和园路8号1层111,羊蝎子火锅,87.0,4.2,190,颐和园
骨珍香老城一锅羊蝎子（永定路店）,海淀区金沟河路15号院,羊蝎子火锅,115.0,4.2,132,五棵松
好汉烤羊腿·羊蝎子·音乐串吧,海淀区学清路逸成东苑甲9号商务楼2层,烤羊腿,103.0,5.0,10,五道口
虾吃虾涮火锅（八角店）,海淀区八角东街建西苑中里1号楼2层203号（京成商厦二层）,虾蟹火锅,80.0,4.7,75,古城/八角
关二涮肉（中关村店）,海淀区双榆树北青云路知春公园南侧（近嘉年华巴西烤肉）,老北京火锅,122.0,4.5,0,双榆树
我的唐锅（志新东路店）,海淀区志新东路8号,四川火锅,88.0,4.2,10,五道口
西山居菌汤小火锅,海淀区永丰路西山壹号院中信支行旁（中关村软件园旁）,小火锅,193.0,4.3,1321,上地
阳坊胜利涮羊肉（上庄店）,海淀区上庄路中国邮政西北方向40米,老北京火锅,88.0,4.2,11,上庄
阿单串串（食宝街店）,海淀区中关村海淀东一街食宝街Z139（海淀东一街与善缘街交汇处旁）,串串香,25.0,3.9,389,中关村
大骨羊骨火锅自助,海淀区阿杰水果行对面,自助火锅,0.0,3.7,5,上庄
虾吃虾涮（北洼店）,海淀区北洼西里28号物美超市北50米,虾蟹火锅,67.0,4.4,2609,紫竹桥
老北京铜锅涮肉（文慧园西路店）,海淀区文慧园斜街如家酒店楼下，永辉超市斜对面,老北京火锅,71.0,3.8,0,北下关
北华涮肉（北大西门店）,海淀区颐和园路5号北京大学西门畅春园南门东侧,老北京火锅,61.0,4.4,1692,颐和园
老佛爷铜炉蛙锅（五道口店）,海淀区成府路29号3-1-6,川菜,86.0,4.4,2849,五道口
三个渔夫灶台鱼（宝盛里店）,海淀区龙岗路宝盛里37号楼2层211号,其他中餐,81.0,4.4,25,清河
老北京门钉肉饼爆肚涮肉（农业大学西区店）,海淀区天秀路天秀花园东站1号（荷塘月舍对面）,老北京火锅,50.0,4.2,18,农业大学西区
Pick Me火锅杯（永定路店）,海淀区复兴路甲36号百朗园0212号,麻辣烫,0.0,3.8,0,五棵松
重庆鸡公煲（大钟寺店）,海淀区北三环西路甲18号中鼎大厦A座-101,川味火锅,0.0,4.1,0,北下关
蜀一数二串串香（五道口店）,海淀区中关村东路18号-1层,串串香,29.0,4.2,1,五道口
黔味家常菜（六道口店）,海淀区清华东路25号21号楼1层103室,农家菜,70.0,4.5,11,五道口
鲜潭蒸汽石锅鱼（五道口购物中心店）,海淀区展春园西路成府路28号五道口购物中心5层,鱼火锅,109.0,4.7,135,五道口
集天餐厅（人大店）,海淀区中关村大街59号中国人民大学南区食堂（教学三楼后侧）,烤鱼,50.0,4.7,5717,中关村
和庆斋（体育大学店）,海淀区中关村北大街1号（近圆明园东门公交）,羊蝎子火锅,88.0,4.3,0,海淀区
小城渔家·活鱼现烤（世纪金源购物中心店）,海淀区远大路1号金源时代购物中心5层,烤鱼,86.0,4.5,551,远大路
黄记黄串串香,海淀区师大北路附近,串串香,0.0,4.0,0,牡丹园/北太平庄
Pickme火锅杯（上地街店）,海淀区上地信息产业基地开拓路1号-1层118,麻辣烫,0.0,4.2,0,上地
航西老北京炭锅涮肉羊蝎子,海淀区北洼路南口90号,老北京火锅,87.0,4.4,9,航天桥
三个渔夫灶台鱼（清河店）,海淀区朱房路27号（近G7高速出口）,鱼火锅,79.0,4.4,1270,清河
精酿啤酒火锅串吧,海淀区北三环中路44号院,串串香,80.0,4.1,27,牡丹园/北太平庄
味香苑小馆,海淀区羊坊店东路101号店,火锅,40.0,3.8,30,公主坟/万寿路
龙源骨头庄（中发百旺商城店）,海淀区圆明园西路18号（中发百旺商城五楼527号）,羊蝎子火锅,90.0,4.0,93,上地
新花园火锅餐厅（五道口店）,海淀区成府路29号国际食尚苑A区3层（聚点串吧旁）,重庆火锅,66.0,4.7,60,五道口
万盛老北京涮肉坊,海淀区万寿路西街7号中组部招待所南门对面,老北京火锅,85.0,4.2,0,公主坟/万寿路
鲸鱼悦·鱼掌门鱼火锅（上地店）,海淀区马连洼北路8号万霖科技大厦B座106,鱼火锅,105.0,4.8,259,上地
金响涮肉（旱河路店）,海淀区旱河路与杏石口路交叉口西南角（京瑞宝通汽车用品商行旁）,老北京火锅,100.0,3.9,0,田村
四季火锅,海淀区学院路29号地大国际会议中心B1,涮涮锅,86.0,3.7,0,五道口
就三桌涮肉馆（铸城大厦配送店）,海淀区中关村南大街甲6号1层F8-4、F8-5、F9-3、F9-4,老北京火锅,80.0,0.0,0,双榆树
羊大爷,海淀区颐和园路5号,牛羊肉火锅,106.0,4.3,0,中关村
義公子冰煮羊火锅（万寿寺店）,海淀区万寿寺北里甲28号,火锅,145.0,4.8,50,魏公村
簋鱼锅,海淀区蓟鑫大厦三楼火锅店B3,鱼火锅,0.0,3.5,0,五道口
有范儿串串香火锅（清河店）,海淀区永泰庄西路6号院1层,串串香,80.0,4.5,456,清河
北京土著部落,海淀区清华东路东王庄小区10号楼底商,羊蝎子火锅,60.0,4.8,17,五道口
泰伙餐厅,海淀区复兴路乙11号梅地亚中心1层（近中央电视台）,泰国菜,126.0,4.6,947,公主坟/万寿路
夜焰串吧,海淀区王庄路东王庄33号楼二层8号,烤串,77.0,4.8,12,五道口
禧萃香港海鮮火鍋,海淀区花园路2号，权品金沙,港式火锅,257.0,4.8,19,牡丹园/北太平庄
木叶村日本料理,海淀区魏公街12号（韦伯豪小区正门对面）,日本料理,93.0,4.6,480,魏公村
有面儿碳烤羊腿,海淀区温泉镇尚峰尚水小区尚品园1号楼底商,烤串,70.0,4.7,707,海淀区
利桥顺酒楼（北洼路店）,海淀区北洼路40号,河北菜,88.0,4.6,337,航天桥
利桥顺酒楼（四道口店）,海淀区四道口路北下关四道口1号53号楼一至二层,河北菜,80.0,4.7,179,大钟寺
伙盆居,海淀区后屯路专家国际公馆,私房菜,86.0,4.6,24,清河
骏马老城一锅（骏马国际店）,海淀区中关村东路95号,羊蝎子火锅,81.0,4.6,42,中关村
重庆壹圣元火锅（公主坟店）,海淀区复兴路甲23号公主坟城乡贸易中心二楼西侧,重庆火锅,102.0,4.6,808,公主坟/万寿路
海兰火锅城,海淀区南平庄中路与西平庄路交叉口东100米,火锅,0.0,3.9,0,田村
胖胖家常菜,海淀区成府路与三才堂路交叉口西南角,家常菜,80.0,4.5,5,五道口
蜀渝你的串说（六道口店）,海淀区清华东路35号北京林业大学科贸楼1层（含二层）,重庆火锅,63.0,4.8,2334,五道口
烧饼酱肉.羊蝎子火锅,海淀区学院路17号1幢1层1号（北京语言大学东门向南50米）,羊蝎子火锅,72.0,3.8,21,五道口
老城羊蝎子,海淀区韩家川路西北旺韩家川村八局对面,羊蝎子火锅,68.0,4.2,0,百望山森林公园/309医院
牛街洪硕涮肉烧烤,海淀区安宁庄东路72号,老北京火锅,80.0,3.8,5,清河
知味麻辣串串香,海淀区善缘街1号食宝街2期杨国福旁边,串串香,18.0,4.3,3,中关村
虾吃虾涮（西直门店）,海淀区西直门北大街41号天兆家园3层北部东侧,虾蟹火锅,85.0,4.7,806,北下关
串串香,海淀区聂各庄路18号,串串香,0.0,4.2,0,海淀区
罗勒家（能量城市店）,海淀区板井路69号世纪金源大饭店楼下,牛羊肉火锅,135.0,4.9,1,远大路
羊蝎子爆肚（肉饼店）,海淀区彰化路48号,羊蝎子火锅,76.0,4.4,0,四季青
图灵私房菜,海淀区闵庄路42号院1号楼一层101,融合菜,93.0,4.4,1,颐和园
9号里铜锅涮肉（月泉路店）,海淀区学清路逸成东苑9号楼3层,老北京火锅,73.0,4.8,53,海淀区
王婆大虾•东北烧烤（六道口店）,海淀区中国矿业大学艺海大厦,海鲜火锅,77.0,4.6,87,五道口
臻和羊蝎子涮肉（海淀店）,海淀区天秀路9-5号院1号楼一层102室,老北京火锅,77.0,4.6,79,百望山森林公园/309医院
友兴朋记·铁锅肥肠（上地店）,海淀区信息路上地东里4区1号楼一层甲1号,特色火锅,80.0,4.7,9,上地
邬智雅娜·养生素食·松茸火锅（大钟寺店）,海淀区皂君庙东路皂君庙14号院鑫雅苑5号楼1层,素食,121.0,4.6,19,大钟寺
南门涮肉範,海淀区三里河路17号甘家口大厦北侧（增光路新华书店旁边）,老北京火锅,78.0,4.5,2,甘家口百货
重庆椰子鸡火锅,海淀区邓庄北路友谊路14号院,重庆火锅,83.0,4.1,0,海淀区
曾经的少年牛板筋火锅·串,海淀区上庄镇嘉郡小区109号,特色火锅,82.0,3.5,1,上庄
满祥轩（牡丹园店）,海淀区牡丹园东街29号,老北京火锅,103.0,4.6,0,牡丹园/北太平庄
小喜村（紫竹桥店）,海淀区紫竹院广源闸路5号1层,重庆火锅,90.0,4.6,89,紫竹桥
简阳羊肉汤（永泰庄店）,海淀区东升镇永泰庄北路永泰东村45号,羊肉汤,62.0,4.3,145,清河
老城一锅羊蝎子（闵庄南路店）,海淀区闵庄南路,羊蝎子火锅,0.0,4.1,0,四季青
蛙蛙叫·铜炉蛙锅（印象城店）,海淀区翠微路12号印象城购物中心4层,炭火锅,98.0,4.4,225,公主坟/万寿路
老诚一锅•羊蝎子·小龙虾·烧烤（西三旗新龙大厦直营店）,昌平区建材城西路新龙大厦一层,羊蝎子火锅,93.0,5.0,98,西三旗
七幺巴骨之味（五道口店）,海淀区北京市海淀区兰旗营134号南面平房,火锅,83.0,4.6,201,五道口
花聚（西二旗西路店）,海淀区西二旗大街西二旗智学苑29号楼,港式火锅,402.0,4.5,0,上地
椒天红羊蝎子,海淀区西翠路与五棵松北路交口万寿路4号院西门（南侧平房44号）,羊蝎子火锅,73.0,4.3,275,五棵松
