店铺名称,店铺地址,种类,平均消费价格,店铺评分,评价人数,地区
寻鲜记·老北京铜锅涮肉（西客站食宝街店）,海淀区羊坊店路18号西站食宝街2层正对电梯,老北京火锅,108.0,4.3,221,北京西站/军博
沸炉鲜货火锅（龙湖星悦荟店）,海淀区中直路1号龙湖星悦荟1层（近西苑地铁站C1口，北京大学）,重庆火锅,113.0,4.5,550,颐和园
重八牛府之不忘初心（学院路店）,海淀区学清路10号院1号楼学清嘉创大厦A座2层,火锅,98.0,4.9,542,五道口
井格重庆火锅（圆明园农大店）,海淀区农大南路肖家河新村东区北门旁,重庆火锅,115.0,4.2,677,上地
贤合庄卤味火锅（万柳华联店）,海淀区巴沟路2号北京华联万柳购物中心B1,四川火锅,120.0,4.2,92,万柳
小山娘川辣火锅（凯德晶品店）,海淀区复兴路51号凯德晶品购物中心4层,重庆火锅,100.0,4.7,105,公主坟/万寿路
海底捞火锅（牡丹园店）,海淀区花园东路2号,四川火锅,101.0,4.8,140,牡丹园/北太平庄
唇辣号重庆老火锅（人民大学店）,海淀区苏州街57号,重庆火锅,100.0,4.4,119,中关村
黄仕秀吃火锅中心（五道口店）,海淀区学院路20号,重庆火锅,108.0,4.5,116,五道口
浩爷羊蝎子火锅（双榆树店）,海淀区双榆树一街双榆树北里甲18号（当代商场北侧、双榆树一街东行200米路北）,羊蝎子火锅,122.0,4.8,2173,双榆树
正福居老北京涮肉（彰化路店）,海淀区彰化路33号一层中段及二层（近西单翅酷）,老北京火锅,69.0,4.6,1262,四季青
102蹄花火锅（北大南门店）,海淀区海淀路19-1号中成大厦1楼（近理想国际大厦）,四川火锅,73.0,4.6,239,中关村
福口居（北太平庄店）,海淀区北太平庄北三环中路40号（近国美）,老北京火锅,63.0,4.9,10003,牡丹园/北太平庄
妈妈酥肉老火锅（八一制片厂店）,海淀区莲宝路十号院北门北平盛世旁边,四川火锅,80.0,4.8,257,六里桥/丽泽桥
滚滚火锅（学清路店）,海淀区学清嘉创大厦A座三层,四川火锅,102.0,4.8,7,五道口
海底捞火锅（枫蓝国际购物中心店）,海淀区西直门北大街32号枫蓝国际购物中心3层,四川火锅,111.0,4.9,63,北下关
海底捞火锅（枫蓝国际购物中心店）,海淀区西直门北大街32号枫蓝国际购物中心3层,四川火锅,111.0,4.9,63,北下关
呷哺呷哺（五棵松店）,海淀区复兴路32号院东物业楼二层1号,小火锅,50.0,4.9,474,五棵松
海底捞火锅（上地华联店）,海淀区农大南路1号院1号楼上地华联中心4层,四川火锅,111.0,4.9,17,上地
超岛串串火锅（龙湖星悦荟店）,海淀区龙湖北京西苑星悦荟,串串香,105.0,4.3,156,颐和园
海底捞火锅（华联万柳购物中心店）,海淀区巴沟路2号华联万柳购物中心五层L507、508（近地铁10号线巴沟站）,四川火锅,112.0,4.9,84,苏州桥
宽板凳老灶火锅（保福寺店）,海淀区中关村南三街76号中国科学院计算机研究所对面,重庆火锅,89.0,4.7,686,中关村
一起捞鲜汤火锅（交大店）,海淀区交大东路17号京煤大厦底商,特色火锅,106.0,4.6,33,北下关
宽板凳老灶火锅（温泉中心店）,海淀区温泉镇白家疃尚品园1号楼107,重庆火锅,98.0,4.3,125,海淀区
钢管厂五区小郡肝火锅串串香（知春路店）,海淀区罗庄西里北路,串串香,95.0,4.8,87,知春路
唇辣号重庆老火锅（上地七街店）,海淀区上地西路国际创业园中关村国际孵化园（近工商银行）,重庆火锅,105.0,4.7,460,上地
海底捞火锅（印象城店）,海淀区翠微路12号印象城购物中心4层,四川火锅,109.0,4.9,91,公主坟/万寿路
井格重庆火锅（四道口店）,海淀区学院南路33号25号楼1层（康福瑞假日酒店一层底商）,重庆火锅,113.0,4.4,284,北下关
宽板凳老灶火锅（世纪城店）,海淀区远大路远大园2区甲1号2楼,重庆火锅,109.0,4.3,50,远大路
谭鸭血老火锅（北清路店）,海淀区丰豪东路9号院1号楼,四川火锅,131.0,4.1,176,西北旺
谭鸭血老火锅（黑泉路店）,海淀区黑泉路兴美大厦一层,四川火锅,112.0,4.7,449,清河
寻山记铜瓢牛肉火锅,海淀区苏家坨镇北清路安河家园九里12号楼2层9-12-2-201-01,云南火锅,80.0,4.7,6,海淀区
自助火锅,海淀区学院路7号 弘彧大厦一层106,自助火锅,46.0,4.4,317,五道口
唇辣号重庆老火锅（苏州街店）,海淀区苏州街29号,重庆火锅,92.0,4.4,1130,苏州桥
攀成钢小郡肝串串香（北安河店）,海淀区北安河地铁站东北,串串香,98.0,4.9,22,海淀区
呷哺呷哺（北洼路华普店）,海淀区北洼路32号华普超市一层,小火锅,48.0,4.9,413,紫竹桥
东来顺饭庄（五道口店）,海淀区成府路28号五道口购物中心5楼13号（近五道口地铁站）,老北京火锅,119.0,4.1,21677,五道口
锅说一次用油老火锅（五棵松店）,海淀区复兴路69号院2号五棵松华熙LIVE·hi-up北区B1层151号,重庆火锅,114.0,4.2,512,五棵松
重庆地瓜老火锅（田村店）,海淀区田村路43号京粮广场2层,重庆火锅,88.0,4.6,793,田村
聚宝源（五棵松店）,海淀区万寿路西街西长安美居酒店一层,老北京火锅,110.0,4.5,220,五棵松
呷哺呷哺（海淀田村物美店）,海淀区田村路43号京粮广场一层A-1号商铺,小火锅,47.0,4.7,588,田村
竹叶居成都火锅（万柳店）,海淀区万柳中路29号院4-03,四川火锅,86.0,5.0,25,万柳
呷哺呷哺（上地华联店）,海淀区农大南路1号院1号楼上地华联购物中心四层,小火锅,50.0,4.8,516,上地
怒火八零重庆市井火锅（健翔桥店）,朝阳区北京市朝阳区华严北里甲1号31幢1层全部右3号,重庆火锅,100.0,4.7,26,牡丹园/北太平庄
钢管厂五区小郡肝火锅串串香（清河万象汇店）,海淀区朱房路100号,串串香,98.0,4.6,101,清河
小棠巷火锅（青棠湾店）,海淀区小牛房路青棠湾小区底商,火锅,80.0,4.7,7,海淀区
沸腾质数火锅,海淀区上地十街一号院辉煌国际东6号楼220（辉煌国际商业街东门入口二楼）,四川火锅,96.0,5.0,29,上地
青瓷火锅自助（五道口购物中心店 ）,海淀区成府路20号五道口购物中心6层,港式火锅,101.0,4.6,308,五道口
沸腾质数火锅,海淀区上地十街一号院辉煌国际东6号楼220（辉煌国际商业街东门入口二楼）,四川火锅,96.0,5.0,29,上地
浩爷羊蝎子火锅（双榆树店）,海淀区双榆树一街双榆树北里甲18号（当代商场北侧、双榆树一街东行200米路北）,羊蝎子火锅,122.0,4.8,2173,双榆树
川椒缘火锅（白石桥店）,海淀区中关村南大街28号4号楼3层,重庆火锅,86.0,4.8,238,魏公村
小棠巷火锅（青棠湾店）,海淀区小牛房路青棠湾小区底商,火锅,80.0,4.7,7,海淀区
湊湊火锅·茶憩（新中关购物中心店）,海淀区中关村新中关购物中心4层湊湊火锅,特色火锅,113.0,4.4,209,中关村
巴奴毛肚火锅（北京世纪金源店）,海淀区远大路世纪金源购物中心五层D31,重庆火锅,150.0,4.8,6,远大路
西唐成都老火锅与羊蝎子锅（中关村店）,海淀区海淀大街左岸公社二层202B,四川火锅,100.0,4.8,39,中关村
唇辣号重庆老火锅（天秀店）,海淀区天秀路9-5号悦动全民健身南侧,重庆火锅,96.0,4.5,1905,颐和园
聚宝源（牡丹园店）,海淀区花园东路30号花园饭店八号楼四层8401,老北京火锅,118.0,4.6,86,牡丹园/北太平庄
川西坝子古月火锅,海淀区中关村创客小镇,四川火锅,73.0,4.8,18,海淀区
葫芦娃一家人火锅（苏州街店）,海淀区苏州街29号（白家大院旁边四合院距地铁10号线苏州街站A西北口步行540米）,四川火锅,132.0,4.7,87,中关村
玉林串串香（双安店）,海淀区双榆树三街双榆树西里6号,串串香,81.0,4.5,254,双榆树
